  0 [ 12 @( 0, 2) z  10
  0 [ 11 @( 0, 0) z  50
  0 [ 13 @( 2, 3) z  40
 11 ) 12 @( 0, 2) z  10
 11 [ 12 @( 1, 2) z  20
 31 ) 12 @( 1, 2) z  20
 31 [ 12 @( 2, 2) z  60
 41 ) 13 @( 2, 3) z  40
 50 ) 11 @( 0, 0) z  50
 50 [ 11 @( 1, 0) z  60
 91 ) 12 @( 2, 2) z  60
 91 [ 12 @( 3, 2) z 180
 91 [ 13 @( 2, 2) z  60
110 ) 11 @( 1, 0) z  60
110 [ 11 @( 2, 0) z  90
151 ) 13 @( 2, 2) z  60
151 [ 13 @( 2, 1) z  10
161 ) 13 @( 2, 1) z  10
201 ) 11 @( 2, 0) z  90
201 [ 11 @( 3, 0) z  60
201 [ 13 @( 2, 0) z  80
261 ) 11 @( 3, 0) z  60
271 ) 12 @( 3, 2) z 180
281 ) 13 @( 2, 0) z  80
